Date,Open,High,Low,Close,Adj Close,Volume
1981-12-24,346.640015,349.200012,345.440002,347.940002,347.940002,23940000
1981-12-28,348.320007,349.940002,345.480011,346.720001,346.720001,28320000
1981-12-29,346.679993,348.459991,343.899994,345.299988,345.299988,35300000
1981-12-30,345.320007,349.459991,344.079987,347.019989,347.019989,42960000
1981-12-31,347.100006,349.839996,345.260010,347.799988,347.799988,40780000
1982-01-04,348.220001,351.880005,345.880005,349.600006,349.600006,36760000
1982-01-05,348.899994,349.739990,342.230011,343.290009,343.290009,47510000
1982-01-06,343.029999,344.500000,338.230011,341.570007,341.570007,51510000
1982-01-07,341.309998,342.630005,337.029999,340.750000,340.750000,43410000
1982-01-08,340.929993,344.779999,339.250000,341.989990,341.989990,42050000
1982-01-11,342.369995,343.350006,333.049988,333.910004,333.910004,51900000
1982-01-12,332.609985,335.329987,329.820007,332.010010,332.010010,49800000
1982-01-13,332.170013,334.269989,326.239990,327.640015,327.640015,49130000
1982-01-14,327.200012,331.470001,325.480011,329.179993,329.179993,42940000
1982-01-15,330.000000,333.609985,328.559998,331.630005,331.630005,43310000
1982-01-18,329.459991,335.230011,327.700012,334.149994,334.149994,44920000
1982-01-19,334.869995,336.709991,329.760010,331.160004,331.160004,45070000
1982-01-20,330.500000,333.109985,327.320007,329.679993,329.679993,48860000
1982-01-21,329.420013,333.149994,327.600006,329.660004,329.660004,48610000
1982-01-22,329.920013,331.769989,325.880005,327.959991,327.959991,44370000
1982-01-25,325.820007,328.779999,322.640015,327.040009,327.040009,43170000
1982-01-26,326.920013,329.779999,324.179993,326.079987,326.079987,44870000
1982-01-27,325.019989,329.540009,323.260010,327.559998,327.559998,50060000
1982-01-28,329.059998,336.970001,328.279999,335.630005,335.630005,66690000
1982-01-29,337.510010,341.829987,334.589996,339.230011,339.230011,73400000
1982-02-01,335.890015,338.269989,331.250000,333.250000,333.250000,47720000
1982-02-02,333.070007,337.929993,331.450012,335.109985,335.109985,45020000
1982-02-03,335.089996,337.589996,331.350006,332.929993,332.929993,49560000
1982-02-04,332.910004,335.790009,328.899994,332.670013,332.670013,53300000
1982-02-05,333.190002,337.970001,330.839996,335.029999,335.029999,53350000
1982-02-08,333.089996,334.309998,326.399994,327.359985,327.359985,48500000
1982-02-09,326.320007,329.160004,323.160004,325.660004,325.660004,54420000
1982-02-10,326.399994,330.660004,325.179993,328.480011,328.480011,46620000
1982-02-11,328.579987,330.959991,325.559998,328.320007,328.320007,46730000
1982-02-12,328.339996,330.859985,326.119995,327.760010,327.760010,37070000
1982-02-16,324.679993,328.140015,321.579987,326.600006,326.600006,48880000
